u_id,section,q_id,kapr_question,timestamp
5,1,16,0.5384729649435531,1523043700
5,1,29,0.6175595238095233,1523043581
5,1,32,0.5864197530864192,1523043901
5,1,72,0.2921370568429391,1523043683
5,1,79,0.495390325670499,1523043956
5,1,88,0.6349206349206353,1523043766
5,1,101,0.5508117225384765,1523043837
5,1,107,0.09290006325110856,1523043830
5,1,128,0.21981406810035842,1523043558
5,1,138,0.5029616013071889,1523043810
5,1,143,0.6720430107526889,1523043733
5,1,155,0.36549707602339154,1523043862
5,1,171,0.683922558922557,1523043823
5,1,183,0.23148148148148273,1523043792
5,1,197,0.84175084175084125,1523043574
5,1,215,0.09574915824915742,1523043874
5,1,228,0.00864875864875847,1523043724
5,1,246,0.8534621578099828,1523043746
5,1,254,0.7765830346475511,1523043941
5,1,261,0.4060195779303335,1523043971
5,1,278,0.5291005291005291,1523043649
5,1,296,0.2068965517241379,1523043669
5,1,307,0.8415147265077145,1523043893
5,1,347,0.25637196336120915,1523043961
5,1,357,0.43182802685726696,1523043773
5,2,14,0.4389880952380951,1523044057
5,2,25,0.7507507507507505,1523043996
5,2,36,0.4563492063492056,1523044269
5,2,69,0.7575757575757587,1523044099
5,2,73,0.5002986857825551,1523044306
5,2,85,0.6479603335587107,1523044174
5,2,99,0.33234126984127066,1523044214
5,2,103,0.3683353683353676,1523044196
5,2,115,0.631313131313131,1523044074
5,2,131,0.2909039307506742,1523044024
5,2,135,0.5029616013071898,1523044221
5,2,144,0.6593231162196673,1523044134
5,2,151,0.20833333333333393,1523044255
5,2,178,0.40471923536439647,1523044232
5,2,182,0.673400673400673,1523044210
5,2,206,0.048192049808429616,1523044260
5,2,243,1.4556277056277054,1523044142
5,2,256,0.7495026996305807,1523044312
5,2,262,0.8417508417508408,1523044322
5,2,275,0.8875234681686286,1523044003
5,2,299,1.3144841269841265,1523044088
5,2,323,0.9679370840895349,1523044067
5,2,344,0.03175881195204866,1523044299
5,2,361,0.40672065927820356,1523044151
5,3,15,0.5642361111111112,1523044398
5,3,27,0.4603880855271285,1523044346
5,3,35,0.39784102284102474,1523044558
5,3,70,0.45553574965339605,1523044418
5,3,76,0.6714665032679736,1523044591
5,3,87,0.4423436041083102,1523044451
5,3,96,0.7125998547567178,1523044522
5,3,108,0.03947056030389362,1523044501
5,3,126,0.3676470588235303,1523044413
5,3,127,0.5847953216374263,1523044368
5,3,136,0.37132073422395884,1523044535
5,3,145,0.6071106603560965,1523044470
5,3,154,0.5376344086021518,1523044565
5,3,169,1.284907902554962,1523044493
